region_i,region_j,site_1,site_2,abs_z,p_raw,is_diag,reject_fdr
0,0,KKI,NEUROIMAGE,5.139940202751312,2.748259156844964e-07,True,True
0,1,KKI,NEUROIMAGE,0.5282506228383729,0.5973253978178394,False,False
0,2,KKI,NEUROIMAGE,0.1681142428361192,0.8664934046578926,False,False
0,3,KKI,NEUROIMAGE,0.5296174199086252,0.5963772140147847,False,False
0,4,KKI,NEUROIMAGE,0.21481988164584653,0.8299077514410713,False,False
0,5,KKI,NEUROIMAGE,0.20227807067509787,0.8396993426844284,False,False
0,6,KKI,NEUROIMAGE,1.5332471030855996,0.12521498248148155,False,False
0,7,KKI,NEUROIMAGE,1.8436440110125618,0.06523503757790278,False,False
0,8,KKI,NEUROIMAGE,2.1343097606303054,0.032817432814771355,False,False
0,9,KKI,NEUROIMAGE,0.12262053079711674,0.9024075959082719,False,False
0,10,KKI,NEUROIMAGE,0.7328787653583922,0.46363237549354774,False,False
0,11,KKI,NEUROIMAGE,0.686219656245357,0.492574604418895,False,False
0,12,KKI,NEUROIMAGE,2.0138822374555736,0.04402189885568252,False,False
0,13,KKI,NEUROIMAGE,0.49068266072456,0.6236509120388456,False,False
0,14,KKI,NEUROIMAGE,0.8003401333324656,0.42351375647339606,False,False
0,15,KKI,NEUROIMAGE,0.37681060745495537,0.7063143572208437,False,False
0,16,KKI,NEUROIMAGE,0.48632151195459666,0.6267392294078304,False,False
0,17,KKI,NEUROIMAGE,1.591398789405522,0.11151985660578659,False,False
0,18,KKI,NEUROIMAGE,1.3471388558084305,0.17793551599798996,False,False
0,19,KKI,NEUROIMAGE,1.7596683747614401,0.07846405094823114,False,False
0,20,KKI,NEUROIMAGE,1.9164795741808784,0.05530408068610766,False,False
0,21,KKI,NEUROIMAGE,1.9550090635727495,0.05058200049297057,False,False
0,22,KKI,NEUROIMAGE,2.198654357075654,0.027902508726135457,False,False
0,23,KKI,NEUROIMAGE,0.23291671512798526,0.8158260785722623,False,False
0,24,KKI,NEUROIMAGE,0.787615010265401,0.43092193202814744,False,False
0,25,KKI,NEUROIMAGE,1.2579810056371488,0.20839862567634326,False,False
0,26,KKI,NEUROIMAGE,0.0626604896255027,0.9500368602465225,False,False
0,27,KKI,NEUROIMAGE,0.9627023255999363,0.33569692931402917,False,False
0,28,KKI,NEUROIMAGE,0.1301380316525277,0.8964572210523185,False,False
0,29,KKI,NEUROIMAGE,2.1420090428487386,0.03219275436261177,False,False
0,30,KKI,NEUROIMAGE,0.31967039537815517,0.7492182041526034,False,False
0,31,KKI,NEUROIMAGE,1.1484357181639664,0.2507887355975872,False,False
0,32,KKI,NEUROIMAGE,0.44506305498051785,0.656274186879148,False,False
0,33,KKI,NEUROIMAGE,1.8583772117137651,0.06311546607384753,False,False
0,34,KKI,NEUROIMAGE,0.0881768930509776,0.9297360824426709,False,False
0,35,KKI,NEUROIMAGE,0.23328445924527844,0.8155405254546353,False,False
0,36,KKI,NEUROIMAGE,0.1852451785936677,0.8530367348608667,False,False
0,37,KKI,NEUROIMAGE,0.5863386305556852,0.5576479759639361,False,False
0,38,KKI,NEUROIMAGE,0.49967287085859147,0.6173054379428874,False,False
0,39,KKI,NEUROIMAGE,1.074883622037206,0.2824268354655519,False,False
0,40,KKI,NEUROIMAGE,1.1254531228553515,0.2603970709108423,False,False
0,41,KKI,NEUROIMAGE,0.33055522244058083,0.7409804737441115,False,False
0,42,KKI,NEUROIMAGE,0.5501387391301665,0.5822242177432668,False,False
0,43,KKI,NEUROIMAGE,0.7052720902298016,0.4806409257213814,False,False
0,44,KKI,NEUROIMAGE,2.3446165612262906,0.019046656017419263,False,False
0,45,KKI,NEUROIMAGE,0.3048036118346501,0.760515730503738,False,False
0,46,KKI,NEUROIMAGE,0.9273562638467143,0.35374159074062594,False,False
1,0,KKI,NEUROIMAGE,2.0996278724621202,0.035761588933448586,False,False
1,1,KKI,NEUROIMAGE,5.463811076945891,4.6601950200024984e-08,True,True
1,2,KKI,NEUROIMAGE,0.8303166079881124,0.40635980051473886,False,False
1,3,KKI,NEUROIMAGE,0.16122457778676708,0.8719165240616649,False,False
1,4,KKI,NEUROIMAGE,0.7264781404702095,0.4675457034481507,False,False
1,5,KKI,NEUROIMAGE,1.4323120011428587,0.15205455001277968,False,False
1,6,KKI,NEUROIMAGE,0.4231496577557012,0.6721860738899438,False,False
1,7,KKI,NEUROIMAGE,0.26635297094122257,0.7899673810491195,False,False
1,8,KKI,NEUROIMAGE,0.9142009919370191,0.3606112430382137,False,False
1,9,KKI,NEUROIMAGE,0.2000201602985712,0.8414648140786526,False,False
1,10,KKI,NEUROIMAGE,0.5038107675663661,0.6143943603947504,False,False
1,11,KKI,NEUROIMAGE,0.392367817337812,0.6947864615037984,False,False
1,12,KKI,NEUROIMAGE,0.8121246616066466,0.41672010349536004,False,False
1,13,KKI,NEUROIMAGE,1.0404025060982758,0.2981529378796043,False,False
1,14,KKI,NEUROIMAGE,0.5936706099958743,0.552732443967745,False,False
1,15,KKI,NEUROIMAGE,0.7855374013869264,0.43213855038297566,False,False
1,16,KKI,NEUROIMAGE,1.8641840942480858,0.062295856242112785,False,False
1,17,KKI,NEUROIMAGE,0.5045673933511229,0.6138627163872448,False,False
1,18,KKI,NEUROIMAGE,0.558312232646131,0.5766311932528053,False,False
1,19,KKI,NEUROIMAGE,0.12810120869487965,0.8980688795304016,False,False
1,20,KKI,NEUROIMAGE,0.5345377257467168,0.5929695557032537,False,False
1,21,KKI,NEUROIMAGE,0.3410894417746796,0.7330362493917291,False,False
