dataset,B,overall_pct,median_absz,diag_unstable,diag_total,off_unstable,off_total
condition,100,7.16,1.017809358534121,50,50,129,2450
condition,500,6.959999999999999,1.0113944486415547,50,50,124,2450
condition,1000,7.16,1.0104362129195619,50,50,129,2450
site,100,1.0575824175824176,0.7496346388369299,49,50,0,2450
site,500,1.0435164835164834,0.7491779527383645,49,50,0,2450
site,1000,1.026813186813187,0.7476118077191803,49,50,0,2450
