split,half,n_subj,n_pairs,n_tests,n_reject,rej_rate,median_z,d20,o20,d50,o50,n_diag,n_off,holds
33,A,368,91,227500,1721,0.007564835164835164,0.732603735015974,40,0,0,0,50,2450,True
33,B,374,91,227500,1621,0.007125274725274725,0.7155252586354013,39,0,1,0,50,2450,True
34,A,368,91,227500,1583,0.006958241758241758,0.7150546387702656,41,0,1,0,50,2450,True
34,B,374,91,227500,1634,0.007182417582417582,0.7141892116569755,42,0,0,0,50,2450,True
35,A,368,91,227500,1566,0.006883516483516484,0.729878428260772,40,0,0,0,50,2450,True
35,B,374,91,227500,1757,0.007723076923076923,0.7314296290257343,39,0,1,0,50,2450,True
36,A,368,91,227500,1590,0.006989010989010989,0.7227605697962565,41,0,1,0,50,2450,True
36,B,374,91,227500,1639,0.0072043956043956045,0.7195702128573201,40,0,0,0,50,2450,True
37,A,368,91,227500,1656,0.007279120879120879,0.7253778037880889,40,0,0,0,50,2450,True
37,B,374,91,227500,1676,0.007367032967032967,0.7205099940196287,43,0,1,0,50,2450,True
38,A,368,91,227500,1571,0.0069054945054945055,0.720937019955328,37,0,1,0,50,2450,True
38,B,374,91,227500,1669,0.007336263736263737,0.7136532367483845,40,0,1,0,50,2450,True
39,A,368,91,227500,1613,0.00709010989010989,0.7226498318587005,40,0,1,0,50,2450,True
39,B,374,91,227500,1683,0.0073978021978021976,0.7240296079107436,42,0,1,0,50,2450,True
40,A,368,91,227500,1655,0.007274725274725275,0.7344922681554034,41,0,1,0,50,2450,True
40,B,374,91,227500,1584,0.006962637362637363,0.7128681561779129,41,0,0,0,50,2450,True
41,A,368,91,227500,1727,0.0075912087912087915,0.7294997789224289,43,0,1,0,50,2450,True
41,B,374,91,227500,1605,0.0070549450549450545,0.7163089026981251,39,0,0,0,50,2450,True
42,A,368,91,227500,1526,0.006707692307692308,0.7223669706780598,37,0,1,0,50,2450,True
42,B,374,91,227500,1642,0.007217582417582418,0.7124410710311206,44,0,0,0,50,2450,True
43,A,368,91,227500,1557,0.006843956043956044,0.7140927909471977,40,0,0,0,50,2450,True
43,B,374,91,227500,1740,0.007648351648351649,0.7279527681579744,44,0,1,0,50,2450,True
44,A,368,91,227500,1681,0.007389010989010989,0.7306817792497708,40,0,0,0,50,2450,True
44,B,374,91,227500,1668,0.007331868131868132,0.719615580589799,45,0,1,0,50,2450,True
45,A,368,91,227500,1729,0.0076,0.7236133964416545,41,0,1,0,50,2450,True
45,B,374,91,227500,1501,0.006597802197802198,0.7241872050980496,41,0,0,0,50,2450,True
46,A,368,91,227500,1648,0.007243956043956044,0.7241910983076442,39,0,2,0,50,2450,True
46,B,374,91,227500,1620,0.007120879120879121,0.7156035687501971,43,0,0,0,50,2450,True
47,A,368,91,227500,1585,0.006967032967032967,0.726763170611894,38,0,1,0,50,2450,True
47,B,374,91,227500,1750,0.007692307692307693,0.7348176266339463,42,0,1,0,50,2450,True
48,A,368,91,227500,1668,0.007331868131868132,0.7212172725344255,42,0,1,0,50,2450,True
48,B,374,91,227500,1643,0.007221978021978022,0.721760056042106,38,0,0,0,50,2450,True
49,A,368,91,227500,1746,0.007674725274725275,0.7328052421540735,40,0,1,0,50,2450,True
49,B,374,91,227500,1716,0.007542857142857143,0.7167242891526925,41,0,1,0,50,2450,True
